sample_index,true_label,true_class,pred_label,pred_class,pred_prob,true_prob,pred_logit,true_logit,logit_gap
2827,27,crocodile,42,leopard,0.908276379108429,0.0006238372880034149,6.89502477645874,-0.388389527797699,7.283414304256439
7762,28,cup,9,bottle,0.895260214805603,0.0006332886405289173,6.746626377105713,-0.5073168277740479,7.253943204879761
6522,16,can,61,plate,0.8849851489067078,0.0007150801247917116,6.868381500244141,-0.2525501549243927,7.120931655168533
4352,43,lion,89,tractor,0.8748388290405273,0.00085822882829234,6.685001373291016,-0.24192297458648682,6.926924347877502
1118,55,otter,26,crab,0.7913430333137512,0.0008235251880250871,6.269377708435059,-0.5985149145126343,6.867892622947693
6557,37,house,68,road,0.9567990303039551,0.0011034144554287195,7.755784034729004,0.9906002283096313,6.765183806419373
8465,35,girl,46,man,0.8774402737617493,0.0011455458588898182,7.228847980499268,0.587720513343811,6.6411274671554565
9914,42,leopard,33,forest,0.9200527667999268,0.001281351549550891,7.147744655609131,0.5712290406227112,6.57651561498642
2490,80,squirrel,38,kangaroo,0.9247229695320129,0.0012901846785098314,7.3378214836120605,0.7631127834320068,6.574708700180054
6513,93,turtle,6,bee,0.8047575950622559,0.0011675533605739474,6.318181037902832,-0.21744951605796814,6.5356305539608
2789,37,house,87,television,0.8746289014816284,0.0013954474125057459,6.715120315551758,0.27453577518463135,6.4405845403671265
146,25,couch,58,pickup_truck,0.9484282732009888,0.0015996303409337997,7.598827362060547,1.2137937545776367,6.38503360748291
4601,31,elephant,64,possum,0.8660306930541992,0.0014643355971202254,6.553006172180176,0.170487180352211,6.382518991827965
9269,57,pear,92,tulip,0.49611929059028625,0.0008793537854216993,5.675241470336914,-0.6601427793502808,6.335384249687195
1315,46,man,35,girl,0.8895907998085022,0.0015929789515212178,7.139225482940674,0.8140695691108704,6.3251559138298035
2050,29,dinosaur,72,seal,0.8537688851356506,0.0016766507178544998,6.759106159210205,0.5262437462806702,6.232862412929535
9309,73,shark,29,dinosaur,0.8932624459266663,0.001786783686839044,6.806517124176025,0.592054009437561,6.214463114738464
9376,38,kangaroo,63,porcupine,0.8232604265213013,0.0016537848860025406,6.434305191040039,0.2240990549325943,6.210206136107445
6485,63,porcupine,55,otter,0.6552934646606445,0.0013405338395386934,6.3640666007995605,0.17205150425434113,6.192015096545219
2377,32,flatfish,1,aquarium_fish,0.8704769611358643,0.0019443703349679708,6.531351089477539,0.42724812030792236,6.104102969169617
2640,50,mouse,36,hamster,0.896600067615509,0.002040420426055789,6.821918487548828,0.7364645004272461,6.085453987121582
3493,51,mushroom,77,snail,0.9384002089500427,0.0021931850351393223,7.527602195739746,1.4687803983688354,6.058821797370911
8071,5,bed,94,wardrobe,0.9286192655563354,0.0022118042688816786,7.16070556640625,1.1208152770996094,6.039890289306641
6622,26,crab,66,raccoon,0.7204491496086121,0.0017196966800838709,5.813963413238525,-0.22376343607902527,6.037726849317551
9477,74,shrew,3,bear,0.68295818567276,0.0016628644661977887,5.685157299041748,-0.3327343761920929,6.017891675233841
5805,65,rabbit,64,possum,0.6902798414230347,0.0017472567269578576,5.766683578491211,-0.21236653625965118,5.979050114750862
5451,73,shark,1,aquarium_fish,0.8955094814300537,0.002329097595065832,6.851022243499756,0.8991100788116455,5.95191216468811
9813,67,ray,32,flatfish,0.9262239933013916,0.002449178835377097,7.414762496948242,1.4793992042541504,5.935363292694092
6700,45,lobster,93,turtle,0.8005027174949646,0.002139159245416522,6.258537769317627,0.33371055126190186,5.924827218055725
9424,2,baby,5,bed,0.8918590545654297,0.0024971868842840195,6.811868667602539,0.9337253570556641,5.878143310546875
4089,47,maple_tree,33,forest,0.9169583320617676,0.002799741690978408,7.229426383972168,1.4378913640975952,5.791535019874573
7112,50,mouse,27,crocodile,0.6224220991134644,0.0019005931681022048,5.925405502319336,0.13395288586616516,5.791452616453171
1214,45,lobster,26,crab,0.8008249998092651,0.0024481622967869043,5.953575611114502,0.16327089071273804,5.790304720401764
159,4,beaver,80,squirrel,0.848621666431427,0.0028447608929127455,6.343318462371826,0.6451838612556458,5.69813460111618
6472,9,bottle,69,rocket,0.8592603206634521,0.003033578861504793,6.646263122558594,0.9999343156814575,5.646328806877136
7085,64,possum,32,flatfish,0.8370704054832458,0.0029914099723100662,6.800464153289795,1.1663007736206055,5.6341633796691895
2614,19,cattle,4,beaver,0.6887058615684509,0.00249470304697752,5.83328104019165,0.21263638138771057,5.62064465880394
2863,35,girl,46,man,0.9283041954040527,0.003415558021515608,7.636581897735596,2.0315635204315186,5.605018377304077
9088,45,lobster,26,crab,0.8785738945007324,0.003388678887858987,6.6295366287231445,1.0716767311096191,5.557859897613525
3497,83,sweet_pepper,53,orange,0.876244843006134,0.0033989374060183764,6.458744049072266,0.906561553478241,5.552182495594025
5253,15,camel,43,lion,0.8625829815864563,0.003496018471196294,6.683958530426025,1.1756517887115479,5.5083067417144775
5289,26,crab,93,turtle,0.7377851009368896,0.0030490518547594547,6.489198207855225,1.0003764629364014,5.488821744918823
273,83,sweet_pepper,0,apple,0.7692922949790955,0.003354871179908514,6.496531963348389,1.0614742040634155,5.435057759284973
2308,1,aquarium_fish,44,lizard,0.9370871186256409,0.004492864478379488,7.489223003387451,2.148937225341797,5.340285778045654
5072,4,beaver,63,porcupine,0.9248460531234741,0.004553662613034248,7.146877765655518,1.833182454109192,5.313695311546326
5648,90,train,81,streetcar,0.9028506875038147,0.004496544599533081,6.959638595581055,1.6573907136917114,5.302247881889343
3766,46,man,98,woman,0.8364560008049011,0.004242033697664738,6.598428726196289,1.3142976760864258,5.284131050109863
6927,92,tulip,54,orchid,0.9293971657752991,0.004788513295352459,7.2732834815979,2.004967451095581,5.268316030502319
2769,80,squirrel,44,lizard,0.9112012386322021,0.005029166117310524,7.098702907562256,1.899193286895752,5.199509620666504
3019,38,kangaroo,27,crocodile,0.9131185412406921,0.005041913595050573,7.09607458114624,1.8969945907592773,5.199079990386963
4320,42,leopard,66,raccoon,0.8261502981185913,0.004562633112072945,6.605391979217529,1.406515121459961,5.198876857757568
3380,4,beaver,55,otter,0.867486834526062,0.005098283756524324,7.168682098388672,2.0319857597351074,5.1366963386535645
4893,49,mountain,90,train,0.9113101363182068,0.005367714911699295,7.03450870513916,1.900027871131897,5.134480834007263
4275,95,whale,30,dolphin,0.8702569007873535,0.0052290684543550014,7.062227725982666,1.9476721286773682,5.114555597305298
1357,96,willow_tree,52,oak_tree,0.7957034111022949,0.00482933409512043,6.738468647003174,1.6339505910873413,5.1045180559158325
7225,34,fox,32,flatfish,0.6038904786109924,0.00368215749040246,5.550992488861084,0.45109823346138,5.099894255399704
9812,79,spider,44,lizard,0.9029042720794678,0.005513881333172321,7.2005085945129395,2.102160930633545,5.0983476638793945
9933,43,lion,88,tiger,0.8929316401481628,0.00554982665926218,6.978435516357422,1.897692084312439,5.080743432044983
464,54,orchid,70,rose,0.6150406002998352,0.003971214406192303,5.478802680969238,0.43618637323379517,5.042616307735443
2891,34,fox,3,bear,0.8728998899459839,0.005736068356782198,6.898545265197754,1.8734984397888184,5.0250468254089355
9166,91,trout,1,aquarium_fish,0.8973026871681213,0.0059525673277676105,6.735677719116211,1.720107078552246,5.015570640563965
5282,10,bowl,53,orange,0.8745075464248657,0.005818626843392849,6.548171043395996,1.5355745553970337,5.012596487998962
6189,55,otter,73,shark,0.7614192962646484,0.0052251736633479595,6.025819778442383,1.0441235303878784,4.981696248054504
2641,35,girl,2,baby,0.8744122982025146,0.006057627033442259,6.868086338043213,1.8958523273468018,4.972234010696411
2636,81,streetcar,13,bus,0.9271023869514465,0.006445564795285463,7.185230255126953,2.2165584564208984,4.968671798706055
2106,41,lawn_mower,16,can,0.6273687481880188,0.0043689412996172905,5.2724504470825195,0.30543678998947144,4.967013657093048
2866,16,can,64,possum,0.6557669639587402,0.004653504118323326,5.836330413818359,0.8881453275680542,4.948185086250305
9448,28,cup,10,bowl,0.5672236084938049,0.004044916480779648,6.426900386810303,1.483607530593872,4.943292856216431
634,83,sweet_pepper,1,aquarium_fish,0.8267836570739746,0.005926024168729782,6.188217639923096,1.2500282526016235,4.938189387321472
7002,64,possum,74,shrew,0.35025113821029663,0.0025512860156595707,4.944899082183838,0.02284643054008484,4.922052651643753
2172,99,worm,78,snake,0.9029488563537598,0.0066434405744075775,6.8495402336120605,1.937504529953003,4.912035703659058
7376,13,bus,58,pickup_truck,0.9104011058807373,0.007008837070316076,7.012468338012695,2.145754814147949,4.866713523864746
3946,16,can,28,cup,0.7353736758232117,0.005664914380759001,6.579442024230957,1.7133548259735107,4.866087198257446
7424,70,rose,46,man,0.5420353412628174,0.004206640180200338,5.192242622375488,0.33357566595077515,4.858666956424713
5323,60,plain,49,mountain,0.7876472473144531,0.00616414612159133,6.219486236572266,1.369185209274292,4.850301027297974
7432,63,porcupine,27,crocodile,0.5643930435180664,0.004421947989612818,5.828926086425781,0.979755163192749,4.849170923233032
7026,17,castle,37,house,0.895473837852478,0.007570764981210232,6.787312030792236,2.0142531394958496,4.773058891296387
3307,62,poppy,92,tulip,0.6826251149177551,0.005805517081171274,6.0702056884765625,1.3030686378479004,4.767137050628662
3304,10,bowl,28,cup,0.9360552430152893,0.008038507774472237,7.481349945068359,2.723918914794922,4.7574310302734375
5882,10,bowl,28,cup,0.8991830348968506,0.00794871337711811,7.171742916107178,2.4432663917541504,4.728476524353027
884,1,aquarium_fish,54,orchid,0.8280414342880249,0.007416521664708853,6.529770374298096,1.8144173622131348,4.715353012084961
1091,29,dinosaur,26,crab,0.8233872652053833,0.0074181752279400826,6.788278579711914,2.0787851810455322,4.709493398666382
4862,46,man,35,girl,0.5618746280670166,0.0050643207505345345,6.141201496124268,1.4321428537368774,4.70905864238739
322,32,flatfish,65,rabbit,0.9210281372070312,0.008415132761001587,7.303014278411865,2.607555389404297,4.695458889007568
1792,20,chair,25,couch,0.9219182729721069,0.008507323451340199,7.2794060707092285,2.593876838684082,4.6855292320251465
9949,74,shrew,80,squirrel,0.903680145740509,0.008357307873666286,7.008769512176514,2.325430154800415,4.683339357376099
2759,19,cattle,31,elephant,0.5810133218765259,0.0054822866804897785,5.24971342086792,0.5864621996879578,4.663251221179962
2920,38,kangaroo,4,beaver,0.6599897146224976,0.006294282153248787,6.036093711853027,1.3835110664367676,4.65258264541626
181,64,possum,66,raccoon,0.7567518353462219,0.0072520216926932335,5.928518295288086,1.2807631492614746,4.647755146026611
4559,19,cattle,27,crocodile,0.4775238037109375,0.004606238100677729,5.144488334655762,0.5032857656478882,4.6412025690078735
6907,39,keyboard,81,streetcar,0.693763017654419,0.006755336187779903,6.201369285583496,1.5695714950561523,4.631797790527344
2826,97,wolf,38,kangaroo,0.7352095246315002,0.007177359890192747,6.0091872215271,1.3799635171890259,4.629223704338074
9272,33,forest,91,trout,0.8513578772544861,0.008495938032865524,6.735191345214844,2.1279468536376953,4.607244491577148
643,12,bridge,39,keyboard,0.3744404911994934,0.003756119403988123,5.042751312255859,0.440704882144928,4.602046430110931
7293,19,cattle,3,bear,0.758584201335907,0.00771675817668438,6.1106719970703125,1.522612452507019,4.5880595445632935
9459,4,beaver,63,porcupine,0.7770494818687439,0.008083071559667587,5.990114688873291,1.4243824481964111,4.56573224067688
1801,55,otter,27,crocodile,0.7529265284538269,0.007897813804447651,5.948195934295654,1.390814185142517,4.557381749153137
6074,87,television,5,bed,0.9185220003128052,0.009844541549682617,7.143826961517334,2.607978582382202,4.535848379135132
5681,72,seal,3,bear,0.8183358907699585,0.008990884758532047,6.6211042404174805,2.1100425720214844,4.511061668395996
7020,26,crab,45,lobster,0.8797594308853149,0.009689626283943653,6.670071125030518,2.161478281021118,4.508592844009399
4379,12,bridge,81,streetcar,0.8868908882141113,0.009844419546425343,7.124688625335693,2.623871326446533,4.50081729888916
673,6,bee,80,squirrel,0.6897046566009521,0.007663432043045759,5.871023654937744,1.3712198734283447,4.499803781509399
4726,59,pine_tree,96,willow_tree,0.6224175095558167,0.007006739266216755,6.29965877532959,1.8129199743270874,4.486738801002502
2870,98,woman,2,baby,0.7901700735092163,0.009000676684081554,6.459989547729492,1.9850410223007202,4.474948525428772
3810,59,pine_tree,49,mountain,0.8531025648117065,0.009765415452420712,6.69614839553833,2.2261157035827637,4.470032691955566
9730,31,elephant,80,squirrel,0.43313515186309814,0.0050163231790065765,4.765446662902832,0.3070942759513855,4.4583523869514465
527,88,tiger,42,leopard,0.8963981866836548,0.010452606715261936,6.911808013916016,2.4602744579315186,4.451533555984497
6196,2,baby,29,dinosaur,0.8585180044174194,0.010275576263666153,6.759798526763916,2.3343608379364014,4.425437688827515
4761,95,whale,67,ray,0.5496596097946167,0.0066155637614429,5.418899059295654,0.9990248680114746,4.41987419128418
3266,28,cup,10,bowl,0.66011643409729,0.008047306910157204,5.604462146759033,1.197383165359497,4.407078981399536
4889,34,fox,19,cattle,0.8706555962562561,0.0110534792765975,6.726372241973877,2.3598709106445312,4.366501331329346
5032,15,camel,86,telephone,0.33527904748916626,0.004360521677881479,4.214737892150879,-0.12763340771198273,4.342371299862862
444,26,crab,79,spider,0.9076666235923767,0.011855208314955235,7.128227710723877,2.7901177406311035,4.338109970092773
2555,93,turtle,72,seal,0.7284830212593079,0.00964068528264761,6.109170913696289,1.7841986417770386,4.3249722719192505
318,10,bowl,61,plate,0.8736030459403992,0.01159097719937563,6.704597473144531,2.3821980953216553,4.322399377822876
7522,61,plate,10,bowl,0.8655235767364502,0.011565637774765491,7.069509029388428,2.7542130947113037,4.315295934677124
5542,17,castle,49,mountain,0.8810948729515076,0.011914302594959736,6.828054904937744,2.5246291160583496,4.3034257888793945
3379,42,leopard,43,lion,0.8991952538490295,0.012178933247923851,6.848465442657471,2.546672821044922,4.301792621612549
7751,65,rabbit,60,plain,0.3487796485424042,0.004759009927511215,4.592040061950684,0.2976395785808563,4.294400483369827
2934,64,possum,43,lion,0.731151819229126,0.010061600245535374,5.947319030761719,1.661424160003662,4.285894870758057
1993,18,caterpillar,45,lobster,0.8946201205253601,0.012571367435157299,7.162428379058838,2.8974509239196777,4.26497745513916
6734,39,keyboard,87,television,0.8302934169769287,0.011745164170861244,6.242828369140625,1.9844908714294434,4.258337497711182
3860,67,ray,30,dolphin,0.6862179040908813,0.009794115088880062,6.252357482910156,2.002943754196167,4.249413728713989
5498,95,whale,73,shark,0.8470270037651062,0.012166354805231094,6.6187005043029785,2.3756422996520996,4.243058204650879
8483,59,pine_tree,52,oak_tree,0.8232338428497314,0.011865141801536083,6.82368278503418,2.584047317504883,4.239635467529297
9546,13,bus,81,streetcar,0.9226030111312866,0.01334835309535265,7.3799729347229,3.144166946411133,4.235805988311768
6786,14,butterfly,1,aquarium_fish,0.8736307621002197,0.012736407108604908,6.675373077392578,2.4471797943115234,4.228193283081055
6409,42,leopard,88,tiger,0.8335533142089844,0.012202268466353416,6.27313756942749,2.0490617752075195,4.224075794219971
